Waypoints: 
-1.01,-0.57
1.46,-0.57
1.46,1.45
-1,1.45

60% output

x       y       velocity      desired_vel     vel_output      heading    crosstrack_error   steer_angle
0 0 0 0.2 36.46 0 -0.57 -100
0 0 0 0.2 41.92 0 -0.57 -100
0 0 0 0.2 47.38 0 -0.57 -100
0 0 0.019 0.2 49.3763 0 -0.57 -100
0 0 0.042 0.2 50.1247 0 -0.57 -100
0 0 0.08 0.2 47.5107 0 -0.57 -100
0 0 0.106 0.2 46.0469 0 -0.57 -100
0 0 0.147 0.2 41.1388 0 -0.57 -100
0 0 0.147 0.2 42.5857 0 -0.57 -100
0 0 0.194 0.2 35.4645 0 -0.57 -100
0 0 0.218 0.2 31.2531 0 -0.57 -100
0 0 0.236 0.2 27.4803 0 -0.57 -100
0 0 0.249 0.2 24.1276 0 -0.57 -100
0 0 0.262 0.2 20.42 0 -0.57 -100
0 0 0.27 0.2 17.269 0 -0.57 -100
0 0 0.279 0.2 13.7173 0 -0.57 -100
0 0 0.28 0.2 11.3783 0 -0.57 -100
0 0 0.287 0.2 7.9182 0 -0.57 -100
0 0 0.291 0.2 4.8139 0 -0.57 -100
0 0 0.292 0.2 2.1473 0 -0.57 -100
0 0 0.297 0.2 -1.2758 0 -0.57 -100
0 0 0.295 0.2 -3.5593 0 -0.57 -100
0 0 0.296 0.2 -6.3351 0 -0.57 -100
0 0 0.298 0.2 -9.3205 0 -0.57 -100
0 0 0.296 0.2 -11.6313 0 -0.57 -100
0 0 0.298 0.2 -14.6167 0 -0.57 -100
0 0 0.3 0.2 -17.6567 0 -0.57 -100
0 0 0.301 0.2 -20.569 0 -0.57 -100
0 0 0.303 0.2 -23.6909 0 -0.57 -100
0 0 0.302 0.2 -26.3205 0 -0.57 -100
0 0 0.308 0.2 -30.1989 0 -0.57 -100
0 0 0.302 0.2 -32.0535 0 -0.57 -100
0 0 0.299 0.2 -34.2912 0 -0.57 -100
0 0 0.299 0.2 -36.9939 0 -0.57 -100
0 0 0.299 0.2 -39.6966 0 -0.57 -100
0 0 0.302 0.2 -42.9462 0 -0.57 -100
0 0 0.305 0.2 -46.2777 0 -0.57 -100
0 0 0.305 0.2 -49.1442 0 -0.57 -100
0 0 0.306 0.2 -52.193 0 -0.57 -100
0 0 0.307 0.2 -55.2691 0 -0.57 -100
0 0 0.303 0.2 -57.461 0 -0.57 -100
0 0 0.302 0.2 -60.0906 0 -0.57 -100
0 0 0.302 0.2 -62.8752 0 -0.57 -100
0 0 0.304 0.2 -66.0244 0 -0.57 -100
0 0 0.305 0.2 -69.0459 0 -0.57 -100
0 0 0.303 0.2 -71.5478 0 -0.57 -100
0 0 0.304 0.2 -74.542 0 -0.57 -100
0 0 0.305 0.2 -77.5635 0 -0.57 -100
0 0 0.303 0.2 -80.0654 0 -0.57 -100
0 0 0.304 0.2 -83.0596 0 -0.57 -100
0 0 0.303 0.2 -85.7165 0 -0.57 -100
0 0 0.304 0.2 -88.7107 0 -0.57 -100
0 0 0.306 0.2 -91.9145 0 -0.57 -100
0 0 0.305 0.2 -94.626 0 -0.57 -100
0 0 0.306 0.2 -97.6748 0 -0.57 -100
0 0 0.304 0.2 -100 0 -0.57 -100
0 0 0.301 0.2 -100 0 -0.57 -100
0 0 0.303 0.2 -100 0 -0.57 -100
0 0 0.303 0.2 -100 0 -0.57 -100
0 0 0.305 0.2 -100 0 -0.57 -100
0 0 0.308 0.2 -100 0 -0.57 -100
0 0 0.308 0.2 -100 0 -0.57 -100
0 0 0.309 0.2 -100 0 -0.57 -100
0 0 0.304 0.2 -100 0 -0.57 -100
0 0 0.3 0.2 -100 0 -0.57 -100
0 0 0.302 0.2 -100 0 -0.57 -100
0 0 0.301 0.2 -100 0 -0.57 -100
0 0 0.301 0.2 -100 0 -0.57 -100
0 0 0.301 0.2 -100 0 -0.57 -100
0 0 0.301 0.2 -100 0 -0.57 -100
