x       y       velocity      desired_vel     vel_output(100%)      heading    crosstrack_error   steer_angle
0 0 0 0 0 0 0 0
0 0 0.003 0 0 0 0 0
0 0 0.052 0 0 0 0 0
0 0 0.203 0 0 0 0 0
0 0 0.341 0 0 0 0 0
0 0 0.441 0 0 0 0 0
0 0 0.507 0 0 0 0 0
0 0 0.54 0 0 0 0 0
0 0 0.568 0 0 0 0 0
0 0 0.582 0 0 0 0 0
0 0 0.587 0 0 0 0 0
0 0 0.592 0 0 0 0 0
0 0 0.597 0 0 0 0 0
0 0 0.595 0 0 0 0 0
0 0 0.593 0 0 0 0 0
0 0 0.597 0 0 0 0 0
0 0 0.595 0 0 0 0 0
0 0 0.601 0 0 0 0 0
0 0 0.595 0 0 0 0 0
0 0 0.598 0 0 0 0 0
0 0 0.598 0 0 0 0 0
0 0 0.602 0 0 0 0 0
0 0 0.603 0 0 0 0 0
0 0 0.603 0 0 0 0 0
0 0 0.601 0 0 0 0 0
0 0 0.605 0 0 0 0 0
0 0 0.6 0 0 0 0 0
0 0 0.6 0 0 0 0 0
0 0 0.599 0 0 0 0 0
0 0 0.599 0 0 0 0 0
