x       y       velocity      desired_vel     vel_output(20%)      heading    crosstrack_error   steer_angle
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0.008 0 0 0 0 0
0 0 0.073 0 0 0 0 0
0 0 0.193 0 0 0 0 0
0 0 0.236 0 0 0 0 0
0 0 0.29 0 0 0 0 0
0 0 0.321 0 0 0 0 0
0 0 0.352 0 0 0 0 0
0 0 0.384 0 0 0 0 0
0 0 0.409 0 0 0 0 0
0 0 0.421 0 0 0 0 0
0 0 0.428 0 0 0 0 0
0 0 0.434 0 0 0 0 0
0 0 0.439 0 0 0 0 0
0 0 0.437 0 0 0 0 0
0 0 0.437 0 0 0 0 0
0 0 0.444 0 0 0 0 0
0 0 0.443 0 0 0 0 0
0 0 0.439 0 0 0 0 0
0 0 0.441 0 0 0 0 0
0 0 0.443 0 0 0 0 0
0 0 0.443 0 0 0 0 0
0 0 0.438 0 0 0 0 0
0 0 0.443 0 0 0 0 0
0 0 0.443 0 0 0 0 0
0 0 0.445 0 0 0 0 0
0 0 0.446 0 0 0 0 0
0 0 0.447 0 0 0 0 0
0 0 0.445 0 0 0 0 0
0 0 0.441 0 0 0 0 0
0 0 0.442 0 0 0 0 0
0 0 0.444 0 0 0 0 0
0 0 0.445 0 0 0 0 0
0 0 0.447 0 0 0 0 0
0 0 0.441 0 0 0 0 0
0 0 0.442 0 0 0 0 0
0 0 0.445 0 0 0 0 0
0 0 0.446 0 0 0 0 0
0 0 0.446 0 0 0 0 0
0 0 0.443 0 0 0 0 0
0 0 0.446 0 0 0 0 0
0 0 0.447 0 0 0 0 0
0 0 0.443 0 0 0 0 0
0 0 0.443 0 0 0 0 0
0 0 0.445 0 0 0 0 0
0 0 0.447 0 0 0 0 0
0 0 0.449 0 0 0 0 0
0 0 0.449 0 0 0 0 0
0 0 0.447 0 0 0 0 0
0 0 0.451 0 0 0 0 0
0 0 0.451 0 0 0 0 0
0 0 0.452 0 0 0 0 0
0 0 0.449 0 0 0 0 0
0 0 0.447 0 0 0 0 0
0 0 0.446 0 0 0 0 0
0 0 0.445 0 0 0 0 0
0 0 0.446 0 0 0 0 0
0 0 0.444 0 0 0 0 0
0 0 0.444 0 0 0 0 0
0 0 0.446 0 0 0 0 0
0 0 0.447 0 0 0 0 0
0 0 0.446 0 0 0 0 0
0 0 0.449 0 0 0 0 0
0 0 0.448 0 0 0 0 0
0 0 0.449 0 0 0 0 0
0 0 0.449 0 0 0 0 0
0 0 0.444 0 0 0 0 0
0 0 0.446 0 0 0 0 0
