Desired velocity: 0.6
Waypoints: 
-1.01,-0.57
1.46,-0.57
1.46,1.45
-1,1.45
x       y       velocity      desired_vel     vel_output      heading    crosstrack_error   steer_angle
-1.02357 0.926178 0 0.6 66 1.69044 -1.49618 30.3669
-1.02357 0.926177 0 0.6 72 1.691 -1.49618 30.5091
-1.02358 0.926178 0 0.6 78 1.69048 -1.49618 30.3763
-1.02358 0.926208 0.016 0.6 82.24 1.68968 -1.49621 32.8866
-1.02303 0.924862 0.052 0.6 84.12 1.68914 -1.49486 38.8609
-1.02252 0.918548 0.07 0.6 87.62 1.69267 -1.48855 42.8586
-1.02155 0.908448 0.134 0.6 85.88 1.68661 -1.47845 52.3363
-1.0159 0.880238 0.204 0.6 82.84 1.67384 -1.45024 61.6224
-1.01383 0.863906 0.269 0.6 79.65 1.67882 -1.43391 74.4849
-1.00847 0.845554 0.306 0.6 78.89 1.66035 -1.41555 76.7627
-1.00429 0.826021 0.341 0.6 77.98 1.65198 -1.39602 81.4097
-0.992198 0.784715 0.375 0.6 76.83 1.62921 -1.35471 83.3651
-0.985721 0.762564 0.39 0.6 77.43 1.61151 -1.33256 82.5968
-0.977596 0.74115 0.405 0.6 77.88 1.59589 -1.31115 82.4077
-0.969244 0.721049 0.415 0.6 78.73 1.58351 -1.29105 82.1642
-0.949155 0.68584 0.418 0.6 80.25 1.54601 -1.25584 75.2611
-0.940383 0.669738 0.422 0.6 81.63 1.52977 -1.23974 72.8595
-0.9326 0.652947 0.421 0.6 83.52 1.51656 -1.22295 70.3825
-0.923097 0.635013 0.419 0.6 85.53 1.50215 -1.20501 67.51
-0.904104 0.598846 0.421 0.6 87.12 1.46066 -1.16885 59.792
-0.89403 0.581733 0.428 0.6 88.14 1.44885 -1.15173 59.3538
-0.883305 0.565343 0.434 0.6 89.2 1.42969 -1.13534 56.8583
-0.873757 0.548692 0.441 0.6 90.09 1.41687 -1.11869 56.2389
-0.852893 0.514064 0.446 0.6 91.13 1.39514 -1.08406 54.4805
-0.841856 0.49594 0.457 0.6 91.46 1.38494 -1.06594 55.6275
-0.830667 0.478121 0.463 0.6 92.23 1.37227 -1.04812 55.1885
-0.821321 0.460415 0.472 0.6 92.61 1.354 -1.03042 53.9954
-0.797114 0.422388 0.477 0.6 93.34 1.30935 -0.992388 47.3635
-0.78505 0.402735 0.483 0.6 93.91 1.31674 -0.972735 52.4912
