Desired velocity: 0.4
Waypoints: 
-1.01,-0.57
1.46,-0.57
1.46,1.45
-1,1.45
x       y       velocity      desired_vel     vel_output      heading    crosstrack_error   steer_angle
0 0 0 0.4 44 0 -0.57 -100
0 0 0 0.4 48 0 -0.57 -100
-0.91338 1.39273 0.004 0.4 51.56 1.76583 -1.96273 50.0173
-0.913317 1.3926 0.05 0.4 50.46 1.76516 -1.9626 55.7964
-0.913292 1.38968 0.072 0.4 51.54 1.76376 -1.95968 58.2953
-0.915264 1.37579 0.105 0.4 51.19 1.73936 -1.94579 56.4645
-0.916343 1.36802 0.127 0.4 51.72 1.73949 -1.93802 59.4253
-0.916343 1.36802 0.145 0.4 52.47 1.73949 -1.93802 61.771
-0.916343 1.36802 0.161 0.4 53.26 1.73949 -1.93802 63.8535
-0.927408 1.32708 0.184 0.4 53.12 1.76558 -1.89708 73.9767
-0.928265 1.3162 0.206 0.4 52.86 1.75955 -1.8862 75.5164
-0.928265 1.3162 0.222 0.4 53.04 1.75955 -1.8862 77.642
-0.924366 1.28301 0.229 0.4 54.05 1.76429 -1.85301 80.318
-0.924366 1.28301 0.237 0.4 54.88 1.76429 -1.85301 81.3967
-0.924366 1.28301 0.24 0.4 56.18 1.76429 -1.85301 81.8009
-0.91759 1.24652 0.25 0.4 56.68 1.7256 -1.81652 74.0027
-0.909484 1.22414 0.252 0.4 57.96 1.70443 -1.79414 69.3335
-0.909484 1.22414 0.253 0.4 59.33 1.70443 -1.79414 69.4722
-0.901267 1.20118 0.254 0.4 60.69 1.70656 -1.77118 70.6097
-0.898283 1.18966 0.257 0.4 61.82 1.67573 -1.75966 63.4427
-0.898283 1.18966 0.261 0.4 62.81 1.67573 -1.75966 64.0074
-0.898283 1.18966 0.267 0.4 63.54 1.67573 -1.75966 64.8537
-0.88257 1.14178 0.271 0.4 64.43 1.65991 -1.71178 62.4678
-0.879357 1.12837 0.28 0.4 64.73 1.63202 -1.69837 57.0087
-0.87602 1.11486 0.284 0.4 65.49 1.62226 -1.68486 55.4439
-0.86507 1.09095 0.296 0.4 65.33 1.60867 -1.66095 54.3749
-0.86507 1.09095 0.299 0.4 66.04 1.60867 -1.66095 54.8191
-0.86507 1.09095 0.306 0.4 66.28 1.60867 -1.66095 55.8544
-0.844074 1.03716 0.311 0.4 66.67 1.58974 -1.60716 53.3218
-0.839483 1.02334 0.317 0.4 66.9 1.56511 -1.59334 48.4006
-0.834597 1.00931 0.319 0.4 67.51 1.55212 -1.57931 45.8451
-0.829473 0.99533 0.324 0.4 67.77 1.54436 -1.56533 45.0927
-0.824535 0.981651 0.331 0.4 67.76 1.53852 -1.55165 45.1516
-0.824535 0.981651 0.335 0.4 68.01 1.53852 -1.55165 45.7771
-0.824535 0.981651 0.337 0.4 68.44 1.53852 -1.55165 46.0896
-0.801686 0.922101 0.342 0.4 68.52 1.51212 -1.4921 42.2933
-0.788766 0.891295 0.346 0.4 68.66 1.49185 -1.4613 38.971
-0.788766 0.891295 0.349 0.4 68.87 1.49185 -1.4613 39.4641
-0.776371 0.861016 0.352 0.4 69.05 1.48126 -1.43102 38.4919
-0.770725 0.847696 0.355 0.4 69.2 1.45331 -1.4177 32.4564
-0.770725 0.847696 0.354 0.4 69.76 1.45331 -1.4177 32.2879
-0.770725 0.847696 0.353 0.4 70.33 1.45331 -1.4177 32.1193
-0.746354 0.784324 0.355 0.4 70.58 1.42844 -1.35432 28.9342
-0.739301 0.766818 0.361 0.4 70.37 1.4391 -1.33682 33.5167
-0.732392 0.750818 0.362 0.4 70.65 1.44575 -1.32082 36.1562
-0.719644 0.725406 0.366 0.4 70.59 1.41712 -1.29541 30.8853
-0.719644 0.725406 0.368 0.4 70.71 1.41712 -1.29541 31.248
-0.719644 0.725406 0.367 0.4 71.14 1.41712 -1.29541 31.0667
-0.694674 0.664521 0.365 0.4 71.69 1.38554 -1.23452 25.9433
-0.688855 0.649613 0.367 0.4 71.82 1.3784 -1.21961 25.3544
-0.688855 0.649613 0.37 0.4 71.82 1.3784 -1.21961 25.9265
-0.674202 0.619029 0.372 0.4 71.9 1.36822 -1.18903 25.5435
-0.667249 0.603254 0.373 0.4 72.07 1.36027 -1.17325 24.6926
-0.667249 0.603254 0.374 0.4 72.23 1.36027 -1.17325 24.8891
-0.667249 0.603254 0.373 0.4 72.6 1.36027 -1.17325 24.6926
-0.635371 0.539349 0.373 0.4 72.87 1.3493 -1.10935 26.1061
-0.618596 0.509747 0.375 0.4 72.92 1.35027 -1.07975 28.869
-0.611156 0.492588 0.379 0.4 72.73 1.33001 -1.06259 25.8445
-0.605278 0.477883 0.38 0.4 72.83 1.33486 -1.04788 28.4129
-0.605278 0.477883 0.38 0.4 73.03 1.33486 -1.04788 28.4129
-0.605278 0.477883 0.383 0.4 72.9 1.33486 -1.04788 29.0545
-0.573806 0.413162 0.384 0.4 72.96 1.30801 -0.983162 27.8103
-0.561803 0.395736 0.384 0.4 73.12 1.31848 -0.965736 32.0148
-0.554545 0.38214 0.389 0.4 72.73 1.30461 -0.95214 30.8816
-0.538997 0.349972 0.391 0.4 72.62 1.28083 -0.919972 28.404
-0.53177 0.336409 0.392 0.4 72.6 1.32484 -0.906409 41.1759
