Desired velocity: 0.2
Waypoints: 
-1.01,-0.57
1.46,-0.57
1.46,1.45
-1,1.45
x       y       velocity      desired_vel     vel_output      heading    crosstrack_error   steer_angle
-0.760552 -0.171927 0.189 0.2 41.3 1.28422 -0.398073 39.7724
-0.755276 -0.180165 0.191 0.2 41.19 1.27891 -0.389835 41.546
-0.744886 -0.195047 0.194 0.2 40.95 1.27282 -0.374953 45.5556
-0.740635 -0.202581 0.194 0.2 41.01 1.26843 -0.367419 46.557
-0.736802 -0.209809 0.196 0.2 40.85 1.26797 -0.360191 49.6245
-0.732362 -0.217086 0.195 0.2 41 1.2632 -0.352914 50.0493
-0.723118 -0.232891 0.193 0.2 41.27 1.25674 -0.337109 52.2619
-0.718632 -0.241001 0.195 0.2 41.12 1.25334 -0.328999 55.225
-0.713797 -0.248353 0.197 0.2 40.95 1.24931 -0.321647 57.8819
-0.708915 -0.255477 0.199 0.2 40.76 1.24476 -0.314523 60.4267
-0.697761 -0.268425 0.198 0.2 40.88 1.23711 -0.301575 62.7629
-0.692297 -0.27558 0.198 0.2 40.9 1.23166 -0.29442 64.1874
-0.686546 -0.282808 0.196 0.2 41.14 1.23005 -0.287192 65.5117
-0.680188 -0.290261 0.193 0.2 41.51 1.22503 -0.279739 65.5247
-0.666916 -0.303712 0.195 0.2 41.36 1.21616 -0.266288 70.4147
-0.66146 -0.310059 0.196 0.2 41.3 1.21015 -0.259941 72.4426
-0.655915 -0.316407 0.196 0.2 41.34 1.2084 -0.253593 75.0247
-0.650244 -0.322155 0.196 0.2 41.38 1.20795 -0.247845 77.7344
-0.637855 -0.336396 0.197 0.2 41.31 1.18868 -0.233604 80.8312
-0.631885 -0.343583 0.196 0.2 41.45 1.18565 -0.226417 83.3434
-0.625471 -0.350325 0.196 0.2 41.49 1.17763 -0.219675 85.112
-0.620089 -0.355831 0.198 0.2 41.31 1.17687 -0.214169 89.4062
-0.608676 -0.367541 0.197 0.2 41.44 1.16325 -0.202459 92.4335
-0.602624 -0.373702 0.196 0.2 41.58 1.15746 -0.196298 94.2385
-0.596029 -0.380039 0.195 0.2 41.73 1.15181 -0.189961 96.3194
-0.588332 -0.386694 0.193 0.2 42 1.14325 -0.183306 97.3625
-0.571025 -0.397907 0.193 0.2 42.07 1.12711 -0.172093 100
-0.563093 -0.404629 0.195 0.2 41.92 1.11536 -0.165371 100
-0.556559 -0.410102 0.196 0.2 41.86 1.11156 -0.159898 100
-0.548931 -0.415334 0.198 0.2 41.68 1.10291 -0.154666 100
-0.533356 -0.425377 0.198 0.2 41.7 1.08133 -0.144623 100
-0.526591 -0.429361 0.195 0.2 42.05 1.07638 -0.140639 100
-0.519382 -0.433908 0.195 0.2 42.1 1.0698 -0.136092 100
-0.512258 -0.438952 0.194 0.2 42.26 1.05502 -0.131048 100
-0.499678 -0.447837 0.193 0.2 42.43 1.04346 -0.122163 100
-0.492749 -0.452102 0.192 0.2 42.61 1.03717 -0.117898 100
-0.485083 -0.456439 0.191 0.2 42.8 1.02968 -0.113561 100
-0.477238 -0.460756 0.19 0.2 43 1.0251 -0.109244 100
-0.461478 -0.470805 0.188 0.2 43.32 1.00424 -0.099195 100
-0.453391 -0.475377 0.191 0.2 43.11 0.99228 -0.094623 100
-0.445712 -0.480013 0.192 0.2 43.09 0.986553 -0.089987 100
-0.43782 -0.484703 0.194 0.2 42.95 0.975438 -0.085297 100
-0.421288 -0.493614 0.194 0.2 43.01 0.957271 -0.076386 100
-0.412863 -0.496363 0.2 0.2 42.41 0.947122 -0.073637 100
-0.404003 -0.499134 0.2 0.2 42.41 0.938395 -0.070866 100
-0.395198 -0.502228 0.202 0.2 42.19 0.926073 -0.067772 100
-0.378664 -0.508337 0.201 0.2 42.28 0.906324 -0.061663 100
-0.370583 -0.51097 0.202 0.2 42.16 0.89931 -0.05903 100
-0.363673 -0.511935 0.201 0.2 42.25 0.889492 -0.058065 100
-0.354512 -0.515501 0.199 0.2 42.46 0.885457 -0.054499 100
-0.339674 -0.520119 0.199 0.2 42.47 0.860092 -0.049881 100
-0.330445 -0.523346 0.196 0.2 42.81 0.849016 -0.046654 100
-0.320742 -0.527254 0.195 0.2 42.96 0.845309 -0.042746 100
-0.313014 -0.529855 0.195 0.2 43.01 0.831906 -0.040145 100
-0.295998 -0.536353 0.197 0.2 42.84 0.814021 -0.033647 100
-0.287046 -0.539771 0.196 0.2 42.98 0.806786 -0.030229 100
-0.279336 -0.542655 0.196 0.2 43.02 0.801043 -0.027345 100
-0.270326 -0.546054 0.196 0.2 43.06 0.785846 -0.023946 100
-0.252055 -0.550038 0.199 0.2 42.77 0.765383 -0.019962 100
-0.241817 -0.551956 0.202 0.2 42.45 0.758998 -0.018044 100
-0.232291 -0.554021 0.203 0.2 42.32 0.744811 -0.015979 100
-0.223225 -0.554719 0.204 0.2 42.18 0.740506 -0.015281 100
-0.202401 -0.560519 0.204 0.2 42.14 0.704155 -0.00948101 100
-0.192916 -0.56065 0.204 0.2 42.1 0.706329 -0.00935 100
-0.182672 -0.561961 0.204 0.2 42.06 0.694599 -0.008039 100
-0.172931 -0.564034 0.203 0.2 42.13 0.691795 -0.00596601 100
-0.156498 -0.566743 0.203 0.2 42.1 0.668495 -0.00325698 100
-0.148222 -0.570256 0.2 0.2 42.4 0.653032 0.000256002 100
-0.139596 -0.572613 0.197 0.2 42.73 0.663342 0.00261301 100
-0.130987 -0.572465 0.197 0.2 42.76 0.648602 0.00246501 100
-0.112782 -0.574376 0.199 0.2 42.57 0.634238 0.00437599 100
-0.104435 -0.575632 0.197 0.2 42.8 0.621599 0.00563198 100
-0.096312 -0.577656 0.195 0.2 43.05 0.618955 0.00765598 100
-0.087466 -0.579602 0.195 0.2 43.1 0.609127 0.00960201 100
-0.069297 -0.581812 0.195 0.2 43.15 0.592446 0.011812 100
-0.058395 -0.585085 0.194 0.2 43.31 0.580013 0.015085 100
-0.048885 -0.583126 0.197 0.2 43.04 0.573197 0.013126 100
-0.039084 -0.582399 0.199 0.2 42.85 0.559079 0.012399 100
-0.020036 -0.58188 0.201 0.2 42.64 0.538171 0.01188 100
-0.010733 -0.581772 0.203 0.2 42.41 0.530724 0.011772 100
-0.002105 -0.581361 0.204 0.2 42.27 0.525313 0.011361 100
0.005832 -0.58002 0.204 0.2 42.23 0.518979 0.01002 100
0.023007 -0.579457 0.203 0.2 42.3 0.502635 0.00945699 100
0.031461 -0.579421 0.201 0.2 42.49 0.485646 0.00942099 100
0.040969 -0.58021 0.199 0.2 42.7 0.492072 0.01021 100
0.049123 -0.578404 0.197 0.2 42.93 0.468568 0.00840402 100
0.067931 -0.580434 0.194 0.2 43.29 0.462356 0.010434 100
0.076536 -0.578783 0.194 0.2 43.35 0.453697 0.00878298 100
0.085457 -0.578615 0.192 0.2 43.63 0.43244 0.00861502 100
0.094547 -0.578062 0.193 0.2 43.6 0.428903 0.00806201 100
0.113584 -0.578203 0.195 0.2 43.45 0.417 0.00820303 100
0.122138 -0.575962 0.196 0.2 43.39 0.380819 0.00596201 100
0.131631 -0.573261 0.197 0.2 43.32 0.384328 0.00326103 100
0.142043 -0.572902 0.197 0.2 43.35 0.375741 0.00290203 99.1043
0.16201 -0.567928 0.202 0.2 42.83 0.370207 -0.00207198 91.3578
0.172332 -0.566582 0.206 0.2 42.37 0.355174 -0.00341797 85.9349
0.180829 -0.564421 0.207 0.2 42.2 0.361487 -0.00557899 84.9091
0.188802 -0.560242 0.207 0.2 42.13 0.331911 -0.009758 72.2858
0.197809 -0.558426 0.207 0.2 42.06 0.31829 -0.011574 66.6079
0.217217 -0.556449 0.202 0.2 42.54 0.289774 -0.013551 56.5459
0.226476 -0.555895 0.2 0.2 42.74 0.306302 -0.014105 59.8714
0.236108 -0.554653 0.199 0.2 42.85 0.305584 -0.015347 58.0242
0.253799 -0.550147 0.199 0.2 42.86 0.282426 -0.019853 46.4445
0.262695 -0.547929 0.2 0.2 42.76 0.250913 -0.022071 35.7875
0.27072 -0.546399 0.2 0.2 42.76 0.248577 -0.023601 33.278
0.279766 -0.546491 0.202 0.2 42.54 0.258749 -0.023509 36.2663
0.288661 -0.545469 0.199 0.2 42.85 0.235913 -0.024531 28.7463
0.308666 -0.545089 0.203 0.2 42.42 0.219895 -0.024911 24.8202
0.317235 -0.54522 0.205 0.2 42.17 0.218703 -0.02478 24.9769
0.326734 -0.544465 0.207 0.2 41.9 0.230171 -0.025535 27.2673
0.344495 -0.541761 0.207 0.2 41.83 0.208388 -0.028239 18.4782
0.344495 -0.541761 0.205 0.2 41.98 0.208388 -0.028239 18.1466
0.344495 -0.541761 0.204 0.2 42.04 0.208388 -0.028239 17.9785
0.344495 -0.541761 0.205 0.2 41.89 0.208388 -0.028239 18.1466
0.393305 -0.537043 0.207 0.2 41.62 0.185277 -0.032957 6.95168
0.393305 -0.537043 0.207 0.2 41.55 0.185277 -0.032957 6.95168
0.412517 -0.537806 0.207 0.2 41.48 0.218023 -0.032194 16.1759
0.421264 -0.536152 0.208 0.2 41.3 0.184039 -0.033848 5.76717
0.421264 -0.536152 0.206 0.2 41.44 0.184039 -0.033848 5.37662
0.421264 -0.536152 0.207 0.2 41.27 0.184039 -0.033848 5.57281
0.459047 -0.536941 0.207 0.2 41.2 0.206732 -0.033059 12.2751
0.467308 -0.535091 0.206 0.2 41.24 0.166 -0.034909 -0.473643
0.476398 -0.53468 0.207 0.2 41.07 0.167376 -0.03532 -0.412231
0.49565 -0.535113 0.204 0.2 41.33 0.16281 -0.034887 -1.66656
0.49565 -0.535113 0.2 0.2 41.73 0.16281 -0.034887 -2.5095
0.49565 -0.535113 0.201 0.2 41.62 0.16281 -0.034887 -2.29571
0.506432 -0.535362 0.204 0.2 41.28 0.172558 -0.034638 1.10852
0.544694 -0.534861 0.206 0.2 41.02 0.162566 -0.035139 -1.62073
0.552787 -0.53482 0.205 0.2 41.07 0.173119 -0.03518 0.80327
0.563614 -0.536332 0.202 0.2 41.35 0.208263 -0.033668 10.9411
0.572791 -0.535735 0.202 0.2 41.33 0.162191 -0.034265 -1.48184
0.572791 -0.535735 0.204 0.2 41.09 0.162191 -0.034265 -1.07145
0.572791 -0.535735 0.204 0.2 41.05 0.162191 -0.034265 -1.07145
0.608651 -0.537876 0.204 0.2 41.01 0.168024 -0.032124 3.00398
0.625052 -0.536264 0.202 0.2 41.19 0.143078 -0.033736 -5.68655
0.625052 -0.536264 0.199 0.2 41.5 0.143078 -0.033736 -6.30798
0.645562 -0.537286 0.198 0.2 41.62 0.158111 -0.032714 -1.42954
0.656659 -0.539707 0.2 0.2 41.42 0.191372 -0.030293 10.4186
0.656659 -0.539707 0.2 0.2 41.42 0.191372 -0.030293 10.4186
0.656659 -0.539707 0.201 0.2 41.31 0.191372 -0.030293 10.6056
0.692391 -0.541251 0.204 0.2 40.97 0.144651 -0.028749 1.17926
0.701851 -0.541651 0.205 0.2 40.82 0.157811 -0.028349 5.17622
0.721418 -0.539988 0.203 0.2 40.99 0.168245 -0.030012 5.44813
0.729389 -0.539293 0.205 0.2 40.74 0.177414 -0.030707 7.2917
0.729389 -0.539293 0.204 0.2 40.8 0.177414 -0.030707 7.10945
0.729389 -0.539293 0.203 0.2 40.87 0.177414 -0.030707 6.92544
0.764614 -0.535878 0.206 0.2 40.51 0.158445 -0.034122 -1.44798
0.774105 -0.535816 0.198 0.2 41.33 0.154527 -0.034184 -4.17117
0.784459 -0.536966 0.197 0.2 41.46 0.147593 -0.033034 -4.70726
0.795375 -0.538309 0.198 0.2 41.38 0.124674 -0.031691 -8.6385
0.805002 -0.536799 0.2 0.2 41.18 0.155435 -0.033201 -2.302
0.805002 -0.536799 0.202 0.2 40.96 0.155435 -0.033201 -1.89592
0.805002 -0.536799 0.202 0.2 40.94 0.155435 -0.033201 -1.89592
0.840599 -0.535512 0.201 0.2 41.03 0.129248 -0.034488 -10.3248
0.858604 -0.535758 0.2 0.2 41.13 0.12654 -0.034242 -10.9202
0.858604 -0.535758 0.201 0.2 41.02 0.12654 -0.034242 -10.7101
0.878626 -0.535641 0.203 0.2 40.79 0.123979 -0.034359 -11.0884
0.887426 -0.53413 0.204 0.2 40.65 0.141755 -0.03587 -8.19773
0.887426 -0.53413 0.203 0.2 40.72 0.141755 -0.03587 -8.41094
0.887426 -0.53413 0.2 0.2 41.02 0.141755 -0.03587 -9.06299
0.926028 -0.536252 0.197 0.2 41.35 0.128687 -0.033748 -10.4
0.936411 -0.536714 0.197 0.2 41.38 0.133862 -0.033286 -8.50802
0.956981 -0.538794 0.201 0.2 40.97 0.141603 -0.031206 -3.15263
0.965212 -0.538314 0.201 0.2 40.96 0.132866 -0.031686 -5.96165
0.965212 -0.538314 0.202 0.2 40.84 0.132866 -0.031686 -5.76835
0.965212 -0.538314 0.203 0.2 40.71 0.132866 -0.031686 -5.57692
0.999959 -0.541448 0.2 0.2 41.01 0.104118 -0.028552 -9.56443
1.00945 -0.54142 0.2 0.2 41.01 0.103661 -0.02858 -9.71525
1.00945 -0.54142 0.201 0.2 40.9 0.103661 -0.02858 -9.5384
1.02682 -0.540301 0.202 0.2 40.78 0.137202 -0.029699 -2.22759
1.03584 -0.540495 0.202 0.2 40.76 0.149721 -0.029505 1.18836
1.03584 -0.540495 0.2 0.2 40.96 0.149721 -0.029505 0.825461
1.03584 -0.540495 0.199 0.2 41.07 0.149721 -0.029505 0.641333
1.07284 -0.544764 0.199 0.2 41.08 0.143757 -0.025236 4.47119
