Desired velocity: 0.35
Waypoints: 
-1.01,-0.57
1.46,-0.57
1.46,1.45
-1,1.45
x       y       velocity      desired_vel     vel_output      heading    crosstrack_error   steer_angle
0 0 0 0.35 38.5 0 -0.57 -100
-0.928231 0.812747 0 0.35 42 1.68716 -1.38275 29.5334
-0.928217 0.812738 0.001 0.35 45.39 1.6873 -1.38274 29.7522
-0.928325 0.812517 0.031 0.35 45.58 1.68845 -1.38252 35.5515
-0.928742 0.80994 0.053 0.35 46.35 1.69598 -1.37994 41.5149
-0.928133 0.797178 0.084 0.35 45.91 1.69469 -1.36718 47.0204
-0.928882 0.789757 0.104 0.35 46.37 1.68992 -1.35976 49.6082
-0.932212 0.781795 0.134 0.35 45.53 1.70366 -1.35179 58.7985
-0.934423 0.773051 0.151 0.35 45.82 1.71143 -1.34305 64.1096
-0.938183 0.752556 0.173 0.35 45.39 1.72472 -1.32256 72.0802
-0.939058 0.741559 0.185 0.35 45.84 1.72612 -1.31156 74.9868
-0.938726 0.73064 0.196 0.35 46.28 1.72549 -1.30064 77.2245
-0.937985 0.720408 0.21 0.35 46.28 1.72285 -1.29041 79.5368
-0.935766 0.700177 0.219 0.35 46.69 1.71053 -1.27018 78.8003
-0.934694 0.689298 0.222 0.35 47.67 1.70406 -1.2593 78.1104
-0.932925 0.678418 0.225 0.35 48.62 1.69966 -1.24842 77.9643
-0.928677 0.668785 0.23 0.35 49.32 1.68756 -1.23879 76.2276
-0.920191 0.648334 0.227 0.35 50.85 1.6674 -1.21833 71.2723
-0.916466 0.637926 0.228 0.35 51.97 1.6612 -1.20793 70.295
-0.911285 0.627862 0.231 0.35 52.86 1.64525 -1.19786 67.249
-0.907967 0.618088 0.233 0.35 53.83 1.63691 -1.18809 65.9314
-0.900628 0.598494 0.238 0.35 54.45 1.61813 -1.16849 63.0107
-0.897121 0.588584 0.24 0.35 55.35 1.61216 -1.15858 62.3419
-0.893374 0.578189 0.246 0.35 55.79 1.60507 -1.14819 62.2668
-0.888901 0.567219 0.249 0.35 56.5 1.5954 -1.13722 60.9546
-0.879045 0.544085 0.255 0.35 56.85 1.5785 -1.11408 59.0648
-0.875408 0.532319 0.263 0.35 56.92 1.57818 -1.10232 61.3174
-0.869771 0.520384 0.27 0.35 57.02 1.57201 -1.09038 61.9174
-0.863895 0.508705 0.274 0.35 57.38 1.55602 -1.07871 59.383
-0.851393 0.48255 0.278 0.35 57.7 1.53517 -1.05255 56.4965
-0.847828 0.470413 0.286 0.35 57.54 1.49612 -1.04041 49.1334
-0.843728 0.458356 0.292 0.35 57.52 1.48922 -1.02836 49.5155
-0.837182 0.445924 0.293 0.35 57.99 1.50718 -1.01592 55.1202
-0.826415 0.421081 0.293 0.35 58.56 1.49534 -0.991081 53.805
-0.821689 0.408659 0.293 0.35 59.13 1.46059 -0.978659 45.8604
-0.815128 0.397275 0.298 0.35 59.15 1.46974 -0.967275 50.2039
-0.807604 0.38166 0.301 0.35 59.34 1.46616 -0.95166 51.1931
-0.798934 0.355501 0.304 0.35 59.5 1.43243 -0.925501 45.4307
