timestamp   actual_x   actual_y     actual_t    x_estimate    y_estimate   t_estimate   x_mes  y_mes  t_mes 
0.051 0.893764 0.214476 0.452922 0.8816 0.228841 0.442634 0.871459 0.244513 0.493655 0.192212
0.049 0.90854 0.223495 0.465046 0.906912 0.219456 0.427869 0.994932 0.0682694 0.369844 0.19691
0.05 0.923149 0.232678 0.477243 0.90802 0.222301 0.434319 0.768548 0.182742 0.420727 0.19691
0.05 0.937712 0.242035 0.489377 0.937756 0.223522 0.449793 1.07147 0.165399 0.461609 0.18366
0.05 0.952109 0.251581 0.501589 0.953042 0.224743 0.51041 0.956622 0.151873 0.622809 0.19779
0.05 0.966453 0.261283 0.51371 0.968508 0.223197 0.506914 0.969462 0.132903 0.472573 0.19779
0.05 0.977824 0.269165 0.523631 0.969549 0.229192 0.530698 0.866344 0.218558 0.562044 0.197256
0.05 0.99472 0.281276 0.538508 0.996468 0.248661 0.565493 1.08515 0.327965 0.610995 0.197256
0.05 1.00861 0.291557 0.551035 0.99829 0.258706 0.577848 0.877056 0.265778 0.576594 0.197963
0.05 1.0196 0.299878 0.560934 1.01169 0.261821 0.638449 1.03671 0.207579 0.756191 0.197963
0.05 1.03605 0.312605 0.575522 1.0337 0.280659 0.603266 1.07572 0.354806 0.489582 0.188599
0.05 1.04958 0.323401 0.587763 1.03999 0.288824 0.583078 0.958567 0.281394 0.507705 0.198545
0.05 1.06292 0.334325 0.600503 1.07039 0.303011 0.601423 1.22359 0.346363 0.616093 0.20115
0.05 1.07617 0.345408 0.612672 1.07837 0.324762 0.644353 1.02454 0.430105 0.711625 0.20115
0.05 1.08925 0.35669 0.625332 1.09407 0.328292 0.695569 1.11865 0.253765 0.786087 0.201273
0.051 1.10224 0.368129 0.63755 1.10065 0.358525 0.653702 1.02748 0.55284 0.524705 0.201273
0.049 1.11511 0.379775 0.650229 1.1171 0.373996 0.655394 1.14062 0.423314 0.629779 0.203036
0.05 1.12773 0.391534 0.663009 1.12193 0.378677 0.664681 1.03714 0.323974 0.656891 0.203962
0.052 1.14272 0.405856 0.678141 1.13163 0.383738 0.701873 1.07308 0.304645 0.753038 0.203962
0.05 1.15259 0.415514 0.68833 1.13772 0.380593 0.70343 1.09344 0.268257 0.685473 0.201333
0.048 1.16479 0.427807 0.700859 1.13915 0.398184 0.637712 1.01276 0.476631 0.454915 0.204496
0.05 1.17676 0.4402 0.713761 1.17301 0.42254 0.67339 1.36761 0.551171 0.726641 0.20453
0.051 1.18857 0.452755 0.726751 1.19638 0.429731 0.727194 1.29791 0.386538 0.823689 0.20453
0.049 1.20023 0.465422 0.739367 1.21459 0.453006 0.752791 1.26832 0.562143 0.781469 0.204383
0.05 1.21172 0.478238 0.752145 1.21459 0.46261 0.737132 1.08958 0.448229 0.670553 0.205906
0.051 1.2231 0.49124 0.764914 1.23643 0.476605 0.797412 1.33201 0.488595 0.907562 0.205906
0.049 1.23422 0.50435 0.777697 1.23463 0.495313 0.8238 1.1068 0.552335 0.854003 0.194726
0.05 1.24528 0.517633 0.790395 1.25391 0.516985 0.889972 1.33737 0.590606 1.0142 0.194588
0.05 1.25396 0.528363 0.800799 1.26521 0.526973 0.852879 1.28038 0.529132 0.746172 0.193178
0.05 1.2668 0.544594 0.816011 1.28201 0.516696 0.861078 1.30961 0.273276 0.848137 0.210986
0.05 1.27724 0.558261 0.82883 1.30229 0.521145 0.83794 1.3796 0.447446 0.757443 0.210986
0.05 1.28755 0.572107 0.841656 1.31983 0.541215 0.808277 1.36708 0.618757 0.710574 0.206754
0.05 1.29765 0.58607 0.854867 1.32742 0.560461 0.860828 1.29577 0.616378 0.950377 0.208709
0.05 1.30564 0.597345 0.865074 1.33867 0.559392 0.830977 1.3511 0.457643 0.740424 0.208709
0.05 1.31738 0.614487 0.880598 1.353 0.57638 0.873788 1.3626 0.586045 0.937907 0.199558
0.05 1.32694 0.628859 0.893692 1.37165 0.618045 0.888164 1.44494 0.88737 0.890497 0.196695
0.05 1.33628 0.643254 0.90673 1.38249 0.638912 0.913694 1.38602 0.707831 0.943481 0.197429
0.051 1.34545 0.657895 0.919596 1.39962 0.666126 0.931641 1.46358 0.793713 0.942154 0.210654
0.049 1.35442 0.672532 0.932601 1.39306 0.672628 0.934038 1.23116 0.605067 0.908364 0.20766
0.05 1.36149 0.684351 0.942962 1.39581 0.683787 0.967276 1.34936 0.680422 1.01926 0.20766
0.05 1.37186 0.702215 0.958315 1.41073 0.691911 1.00401 1.44638 0.603649 1.05662 0.197207
0.051 1.38192 0.720286 0.973985 1.41126 0.702901 0.996175 1.30453 0.645716 0.941404 0.208746
0.049 1.38689 0.729361 0.98175 1.40867 0.712981 1.01092 1.33258 0.724829 1.02603 0.203391
0.051 1.39662 0.747651 0.996771 1.40907 0.738098 1.0556 1.31655 0.804444 1.12086 0.203391
0.049 1.40602 0.766091 1.0123 1.41811 0.759836 1.07219 1.40784 0.794778 1.07648 0.195027
0.05 1.41216 0.778455 1.02233 1.42886 0.777568 1.07597 1.46673 0.831884 1.06174 0.202595
